"PC3"	"DU145"	"LNCaP"	"22Rv"	"WPMY1"	"VCaP"	"MDAPCa2b"	"HPV7"	"HPV10"	"RWPE1"	"RWPE2"	"NB11"	"W99"	"PWR1E"	"DUCaP"	"NB26"
"2049"	6.4335913765287	5.63680600760237	6.39088505265754	6.76630047523372	5.55141252916797	6.36193211327672	6.85978246804193	6.74586938148164	6.68255844543785	5.91614828174348	6.73224541643599	5.57092023717768	6.12614913914176	6.21138593001703	6.88219772753824	5.83051582354057
"2101"	7.04683557813268	6.70522480543816	7.51978862803935	7.72551190603491	6.52556651178831	8.38103996083538	7.19313182958807	7.26780436800451	7.03169295348822	7.06073737800477	7.05096272173929	6.92073245131215	7.06156096070761	6.6028191112775	8.52495520418533	6.90948460872198
"1548"	5.13533967891112	5.08025866331354	5.32170192530502	5.28015970881465	5.36057302440759	5.14989102357919	5.19070222827703	5.25989607832312	5.18587879905888	5.12291153021768	5.28896280322721	5.11596008751735	5.22511666626053	5.1106976989152	5.50306203297659	5.09320747333057
"2621"	7.02655853098767	8.69587810073861	6.39366479164991	5.87984367835264	8.12872257378035	6.05962262275787	5.68712035527525	9.01090886957061	9.14745508377657	9.38939478565894	8.37120064568408	10.0453399189504	8.53810169897904	8.19041579643495	5.96857484711408	10.6225487850998
"4323"	7.29312387898651	6.82640699236808	5.71437071370973	5.91632497650523	6.72762936753036	5.67238226023296	5.83055345846471	7.31312442477712	7.515155883865	7.74145590871687	7.74093631682131	7.17284697304055	7.1944019745737	6.98617511338114	6.37482770297055	8.37024522367492
"8717"	6.44670483797004	6.54261021682072	6.48619377609132	6.18903322783763	5.75501339072907	5.54795003836144	6.19556307556166	6.7202854335801	6.35350595979744	6.3956904197181	6.5241482993115	6.31287642479929	6.13858699444926	6.44864304876164	5.82349984652731	6.34093924659147
"5337"	5.00040536954483	5.24053885081886	4.12241508973779	3.96831734552898	4.6814426243345	3.90934761195914	4.00040816688503	6.61624192029468	5.99301955646238	5.51631120015269	6.11167395388256	4.83301013714799	4.82265424028792	4.64841249963392	4.13241805292161	4.52453607004249
"2342"	7.98088176339168	7.00493101436391	6.49057331852827	6.75696416840251	6.75752230339221	6.46743425277678	6.55759616625567	6.63112872922627	6.5609471720593	6.90009264748258	7.23148254754438	6.33809306270694	6.89484688262972	6.86480623532972	5.92636770031342	6.40201490816112
"441263"	8.10026479515656	8.46767290117518	8.24578413482249	8.35727256635234	7.91771504485073	8.33348155159189	8.07582856875488	7.65341979971955	7.74546643448226	7.62240195800473	8.00105294963371	8.02109349778672	7.80362811473592	7.77588531793428	8.23649310113461	7.79186086487213
"572"	8.85165417779339	7.93998544938947	8.04475832935706	8.15804671573538	8.36546230939383	10.2740792199337	8.32375285195282	8.19238834551991	7.89076461884102	7.49514671113134	8.20138748429858	8.72066620940462	8.02187788592104	7.58894478816764	9.74325420886579	8.38981084114808
