381	0.975	27236	1	1
2101	0.963	2099	3	90
2101	0.983	10891	3	18
2101	0.993	2104	3	3
2288	0.967	5264	4	2
2288	0.972	3297	4	7
2288	0.997	3320	4	31
2288	0.987	11146	4	4
56603	0.953	8854	1	2
6405	0.97	8829	2	12
6405	0.982	8828	2	5
1080	0.97	9100	14	2
1080	0.972	10273	14	18
1080	0.992	6804	14	11
1080	0.997	3312	14	18
1080	0.997	821	14	10
1080	0.999	9368	14	9
1080	0.958	3308	14	21
1080	0.967	5566	14	3
1080	0.966	3758	14	3
1080	0.96	7430	14	18
1080	0.993	5174	14	5
1080	0.999	7316	14	322
1080	0.983	7415	14	19
1080	0.998	9351	14	12
1595	0.953	7108	4	2
1595	0.98	4047	4	4
1595	0.962	1718	4	4
1595	0.958	3422	4	3
5166	0.961	1737	2	9
5166	0.964	5160	2	9
10083	0.993	4647	1	2
5898	0.999	10928	7	3
5898	0.999	55770	7	7
5898	0.954	11336	7	5
5898	0.997	5337	7	6
5898	0.99	801	7	26
5898	0.971	5900	7	4
5898	0.974	10640	7	5
10368	0.961	786	3	4
10368	0.952	776	3	5
10368	0.97	781	3	5
1856	0.975	23002	11	3
1856	0.969	324	11	15
1856	0.992	8312	11	27
1856	0.965	7474	11	9
1856	0.983	409	11	16
1856	0.963	8324	11	4
1856	0.957	81839	11	3
1856	0.976	8322	11	3
1856	0.99	1499	11	83
1856	0.966	5879	11	78
1856	0.965	1855	11	13
79657	0.988	10856	1	25
8935	0.996	2533	1	7
6376	0.999	1524	1	2
51226	0.967	22820	1	8
79090	0.986	51399	2	2
79090	0.996	27095	2	1
4706	0.986	4713	36	31
4706	0.979	4719	36	28
4706	0.978	374291	36	29
4706	0.969	4709	36	11
4706	0.989	4708	36	28
4706	0.98	4695	36	34
4706	0.975	4705	36	23
4706	0.994	4711	36	34
4706	0.954	10975	36	30
4706	0.994	4722	36	39
4706	0.953	4717	36	15
4706	0.992	4704	36	33
4706	0.966	7385	36	29
4706	0.988	4726	36	30
4706	0.997	54995	36	2
4706	0.985	4718	36	26
4706	0.977	27349	36	3
4706	0.987	4724	36	30
4706	0.978	4714	36	31
4706	0.981	4701	36	27
4706	0.976	7386	36	28
4706	0.986	7388	36	35
4706	0.99	4728	36	33
4706	0.958	1537	36	35
4706	0.975	4723	36	27
4706	0.973	4729	36	28
4706	0.979	4707	36	6
4706	0.99	4700	36	34
4706	0.962	29796	36	32
4706	0.97	4697	36	14
4706	0.97	4698	36	32
4706	0.983	4720	36	29
4706	0.991	4694	36	35
4706	0.991	4702	36	38
4706	0.987	27089	36	40
4706	0.986	4712	36	22
5164	0.986	8050	4	5
5164	0.966	207	4	106
5164	0.985	1737	4	9
5164	0.984	5160	4	9
3675	0.959	3691	3	10
3675	0.953	2335	3	47
3675	0.999	3688	3	25
1407	0.999	8864	8	5
1407	0.997	9575	8	13
1407	0.991	5187	8	4
1407	0.978	4862	8	10
1407	0.964	7316	8	322
1407	0.977	1454	8	10
1407	0.986	8863	8	6
1407	0.993	406	8	12
928	0.962	1839	4	7
928	0.994	948	4	8
928	0.969	3688	4	25
928	0.959	3655	4	13
972	0.962	8722	3	1
972	0.996	1514	3	2
972	0.959	1520	3	4
6224	0.986	6141	84	61
6224	0.966	8664	84	37
6224	0.95	6729	84	15
6224	0.958	3646	84	38
6224	0.998	6223	84	67
6224	0.999	6207	84	73
6224	0.96	6206	84	5
6224	0.999	6209	84	77
6224	0.967	6230	84	20
6224	0.994	51081	84	22
6224	0.966	27335	84	30
6224	0.999	6217	84	79
6224	0.982	25873	84	50
6224	0.989	51073	84	24
6224	0.979	8666	84	43
6224	0.994	6155	84	56
6224	0.992	11224	84	65
6224	0.999	6132	84	87
6224	0.986	11222	84	24
6224	0.98	6123	84	43
6224	0.99	6205	84	28
6224	0.988	6167	84	54
6224	0.961	8667	84	43
6224	0.999	6188	84	83
6224	0.992	2197	84	47
6224	0.998	6156	84	64
6224	0.988	63875	84	26
6224	0.984	6159	84	48
6224	0.999	6228	84	61
6224	0.974	54948	84	20
6224	0.996	6203	84	64
6224	0.977	28998	84	22
6224	0.993	1938	84	42
6224	0.997	6183	84	22
6224	0.985	65003	84	26
6224	0.984	6138	84	56
6224	0.996	6169	84	53
6224	0.999	6208	84	76
6224	0.987	6124	84	68
6224	0.99	64963	84	18
6224	0.998	6210	84	48
6224	0.994	6181	84	52
6224	0.994	7284	84	18
6224	0.996	6227	84	55
6224	0.962	1915	84	4
6224	0.998	6175	84	69
6224	0.997	6201	84	56
6224	0.955	23480	84	30
